epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,19436.8,0.15414,0.9781,0.9998,0.05492,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,19680.2,0.15166,0.97812,0.99978,0.05434,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,19923.2,0.14701,0.97772,0.9998,0.0539,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,20167.5,0.14663,0.97786,0.99982,0.05358,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,20407,0.14362,0.97782,0.99982,0.05324,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,20650.4,0.1418,0.97794,0.99984,0.05253,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,20891.5,0.1391,0.97911,0.99986,0.05161,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,21132.5,0.1377,0.97963,0.99982,0.05129,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,21372.3,0.13527,0.97955,0.9998,0.05112,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,21614.3,0.13052,0.97963,0.99982,0.05086,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,21857.3,0.12888,0.97971,0.9998,0.05056,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,22100.3,0.12603,0.97967,0.99978,0.05,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,22343.9,0.12362,0.97975,0.99978,0.04973,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,22587.1,0.11982,0.98005,0.99978,0.04899,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,22829.2,0.1165,0.9805,0.99978,0.04829,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,23073.7,0.11367,0.98072,0.99982,0.04783,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,23317.2,0.11142,0.98098,0.99986,0.04744,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,23560.6,0.10587,0.98116,0.99984,0.04697,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,23802.6,0.10366,0.98124,0.99984,0.04655,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,24046.8,0.10075,0.98126,0.99988,0.0461,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,24292.4,0.09709,0.98128,0.99988,0.04562,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,24536.4,0.0938,0.98128,0.99988,0.04523,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
